8593	-5215
-9633	-9231
-8124	-9244
3454	9081
-2744	-2514
553	-755
5390	-6601
1658	5918
2382	709
9723	9203
-8407	6530
-391	415
-3901	5383
7855	-6561
-8289	2200
-5247	6911
-2048	6752
-8628	-6774
-4973	-9582
-7762	-1142
1699	-4172
3524	2930
-7122	-8110
-5525	-5111
349	6990
-9051	-5984
6393	3631
5922	-2287
787	-5095
2312	2966
-4974	-1676
-1182	-7037
-2922	-6354
9584	6048
-4963	2755
6095	2682
1993	2890
-5402	-9075
-9840	3814
95	4010
7272	-2808
7116	-4551
-7232	-2884
-1046	4094
-6175	-9501
8751	-4739
-1174	8650
-952	755
2153	6912
5682	-4043
-6970	-3737
71	-3158
7399	8351
7838	1481
1392	4464
-680	-8878
123	9088
9737	-8999
9953	-573
-296	3791
3865	-1619
-2228	-7557
3250	5406
-766	-4056
6466	-1160
-3355	82
9002	8486
-2501	-4178
-5542	-4664
-8289	-176
9125	4728
5817	-3887
1255	2448
9533	-8276
9049	2326
-7047	1446
597	-315
-2285	1148
6213	-8815
-1351	-6640
8278	-2527
-9175	-9727
-3551	-2818
-6745	1300
-5388	4888
7599	8245
1224	-2057
4715	-7812
-6558	2905
-4906	-735
-5485	337
-7241	-711
-8749	-4378
-7012	-7454
4851	-5897
1532	-5598
-6761	1673
3580	-5026
1976	3662
3716	-215
